Population,name_of_P1,name_of_P2,R,CIL,CIU,N,R_type
ACB,P1.anc.YRI.2way.rand.85,P2.anc.YRI.2way.rand.85,-0.214814114925282,-0.600273109294094,0.251626178855344,20,pearson
ACB,P1.anc.YRI.2way.rand.86,P2.anc.YRI.2way.rand.86,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.86,P2.anc.YRI.2way.rand.86,-0.223102427296549,-0.605812845587843,0.243453944583329,20,pearson
ACB,P1.anc.YRI.2way.rand.87,P2.anc.YRI.2way.rand.87,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.87,P2.anc.YRI.2way.rand.87,-0.255299421711354,-0.626986244889451,0.211066682126666,20,pearson
ACB,P1.anc.YRI.2way.rand.88,P2.anc.YRI.2way.rand.88,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.88,P2.anc.YRI.2way.rand.88,-0.279923444394035,-0.6428172106027,0.185586269256344,20,pearson
ACB,P1.anc.YRI.2way.rand.89,P2.anc.YRI.2way.rand.89,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.89,P2.anc.YRI.2way.rand.89,-0.215500295346325,-0.600733146622736,0.250952124398913,20,pearson
ACB,P1.anc.YRI.2way.rand.90,P2.anc.YRI.2way.rand.90,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.90,P2.anc.YRI.2way.rand.90,-0.235397190004843,-0.613962622443914,0.231208113254254,20,pearson
ACB,P1.anc.YRI.2way.rand.91,P2.anc.YRI.2way.rand.91,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
