group,name_of_1,name_of_2,R,CIL,CIU,n,R_type
ACB,P1.anc.YRI.2way.rand.83,P2.anc.YRI.2way.rand.83,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.83,P2.anc.YRI.2way.rand.83,-0.20042832427301,-0.590569328287508,0.265654322334554,20,pearson
ACB,P1.anc.YRI.2way.rand.84,P2.anc.YRI.2way.rand.84,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.84,P2.anc.YRI.2way.rand.84,-0.179504898987137,-0.576251357243693,0.285711256325909,20,pearson
ACB,P1.anc.YRI.2way.rand.85,P2.anc.YRI.2way.rand.85,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.85,P2.anc.YRI.2way.rand.85,-0.205713326552302,-0.594147429108958,0.26052354492468,20,pearson
ACB,P1.anc.YRI.2way.rand.86,P2.anc.YRI.2way.rand.86,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.86,P2.anc.YRI.2way.rand.86,-0.301969221009228,-0.656732392958029,0.162229972013792,20,pearson
ACB,P1.anc.YRI.2way.rand.87,P2.anc.YRI.2way.rand.87,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.87,P2.anc.YRI.2way.rand.87,-0.242109646954173,-0.618378276953265,0.22445938871353,20,pearson
ACB,P1.anc.YRI.2way.rand.88,P2.anc.YRI.2way.rand.88,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.88,P2.anc.YRI.2way.rand.88,-0.224410946138731,-0.606684053806203,0.242157668293192,20,pearson
ACB,P1.anc.YRI.2way.rand.89,P2.anc.YRI.2way.rand.89,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.89,P2.anc.YRI.2way.rand.89,-0.216839871955488,-0.601630507081683,0.249634915530867,20,pearson
ACB,P1.anc.YRI.2way.rand.90,P2.anc.YRI.2way.rand.90,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.90,P2.anc.YRI.2way.rand.90,-0.147977974678823,-0.554207410576089,0.31518197228924,20,pearson
ACB,P1.anc.YRI.2way.rand.91,P2.anc.YRI.2way.rand.91,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.91,P2.anc.YRI.2way.rand.91,-0.172824714698467,-0.571628212628603,0.292030099578112,20,pearson
ACB,P1.anc.YRI.2way.rand.92,P2.anc.YRI.2way.rand.92,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.92,P2.anc.YRI.2way.rand.92,-0.221848127271228,-0.60497687367625,0.244694946732535,20,pearson
ACB,P1.anc.YRI.2way.rand.93,P2.anc.YRI.2way.rand.93,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.93,P2.anc.YRI.2way.rand.93,-0.222526860788535,-0.605429344143118,0.244023598756179,20,pearson
ACB,P1.anc.YRI.2way.rand.94,P2.anc.YRI.2way.rand.94,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
ACB,P1.anc.YRI.2way.rand.94,P2.anc.YRI.2way.rand.94,-0.212160532377458,-0.598491658960632,0.254228616496768,20,pearson
ACB,P1.anc.YRI.2way.rand.95,P2.anc.YRI.2way.rand.95,-0.196774502499613,-0.575064647157793,0.250838550443135,20,corsym
