coh,id,adm.NAM,adm.IBS,adm.YRI,p1,p2,sex,rfm.NAM,rfm.IBS,rfm.YRI,P1.anc.NAM,P1.anc.IBS,P1.anc.YRI,P2.anc.NAM,P2.anc.IBS,P2.anc.YRI.2,P1.anc.NonYRI.2way,P1.anc.YRI.2way,P2.anc.NonYRI.2way,P2.anc.YRI.2way,adm.NonYRI,P1.sex,P1.adm.NAM,P1.adm.IBS,P1.adm.YRI,P1.adm.NonYRI,P1.rfm.NAM,P1.rfm.IBS,P1.rfm.YRI,P2.sex,P2.adm.NAM,P2.adm.IBS,P2.adm.YRI,P2.adm.NonYRI,P2.rfm.NAM,P2.rfm.IBS,P2.rfm.YRI,P1.anc.NonYRI.2way.rand,P2.anc.NonYRI.2way.rand,P1.anc.YRI.2way.rand,P2.anc.YRI.2way.rand
PUR,HG01062,0.117623,0.822992,0.059385,HG01060,HG01061,2,0.12106976037144,0.809438717745083,0.0694915218834772,0.006,0.879,0.115,0.256,0.702,0.042,0.841,0.159,0.955,0.045,0.940615,1,0.106818,0.813984,0.079198,0.920802,0.100738748648877,0.807091047580141,0.0921702037709823,2,0.129345,0.81091,0.059744,0.940255,0.129796093517847,0.799529063547031,0.0706748429351213,0.841,0.955,0.159,0.045
PUR,HG01068,0.129166,0.817995,0.052839,HG01066,HG01067,2,0.129356903442899,0.801156595751556,0.0694865008055449,0.044,0.873,0.084,0.234,0.739,0.027,0.918,0.082,0.952,0.048,0.947161,1,0.128407,0.815325,0.056267,0.943732,0.12048623143923,0.81311673770118,0.0663970308595895,2,0.131236,0.803823,0.06494,0.935059,0.124692374378241,0.795195900526744,0.0801117250950152,0.952,0.918,0.082,0.048
PUR,HG01071,0.14898,0.800782,0.050239,HG01069,HG01070,2,0.160790734803887,0.779479963268445,0.0597293019276683,0.053,0.843,0.104,0.245,0.75,0.005,0.805,0.195,0.987,0.013,0.949762,1,0.157852,0.769339,0.072809,0.927191,0.16556437507658,0.753510808110293,0.0809248168131267,2,0.149809,0.813554,0.036637,0.963363,0.159222971352184,0.796998871049068,0.0437781575987481,0.987,0.805,0.195,0.013
PUR,HG01074,0.144276,0.797303,0.058421,HG01072,HG01073,1,0.144035293431097,0.786432627114002,0.0695320794549015,0.114,0.815,0.071,0.233,0.667,0.1,0.977,0.023,0.88,0.12,0.941579,1,0.13371,0.800562,0.065729,0.934272,0.138468882146941,0.789159665198603,0.072371452654456,2,0.148462,0.781031,0.070507,0.929493,0.143402695108287,0.779177713316997,0.0774195915747159,0.88,0.977,0.12,0.023
PUR,HG01081,0.165049,0.725193,0.109758,HG01079,HG01080,2,0.174799604003763,0.712581278536596,0.112619117459641,0.519,0.481,0,0.507,0.493,0,0.78,0.22,0.961,0.039,0.890242,1,0.13362,0.71171,0.15467,0.84533,0.132245592218425,0.709627645775195,0.15812676200638,2,0.198235,0.722594,0.079171,0.920829,0.18921463492095,0.716631764143525,0.0941536009355246,0.961,0.78,0.22,0.039
PUR,HG01084,0.143412,0.69834,0.158248,HG01082,HG01083,2,0.155766588899906,0.684865806643057,0.159367604457037,0.289,0.675,0.036,0.037,0.656,0.307,0.868,0.132,0.824,0.176,0.841752,1,0.153066,0.65314,0.193793,0.806206,0.153917940933662,0.656833797324107,0.189248261742231,2,0.155254,0.763333,0.081412,0.918587,0.171538342594463,0.738100521472524,0.0903611359330128,0.824,0.868,0.132,0.176
PUR,HG01087,0.147019,0.720018,0.132963,HG01085,HG01086,2,0.149260850832623,0.718445922660642,0.132293226506735,0.1,0.736,0.164,0.218,0.651,0.131,0.778,0.222,0.946,0.054,0.867037,1,0.125362,0.763172,0.111467,0.888534,0.124587046734975,0.761399352143774,0.114013601121251,2,0.185536,0.686261,0.128203,0.871797,0.180421232726508,0.689677576099003,0.12990119117449,0.778,0.946,0.054,0.222
PUR,HG01096,0.098293,0.77445,0.127256,HG01094,HG01095,1,0.0967653544869343,0.772670732396304,0.130563913116761,0.042,0.889,0.069,0.144,0.641,0.215,0.77,0.23,0.954,0.046,0.872743,1,0.122761,0.764122,0.113117,0.886883,0.120325700064009,0.764292354592556,0.115381945343435,2,0.127793,0.767947,0.10426,0.89574,0.127532090777648,0.763407351112716,0.109060558109636,0.77,0.954,0.23,0.046
PUR,HG01099,0.159966,0.761418,0.078616,HG01097,HG01098,1,0.157502297413281,0.758965711483706,0.0835319911030123,0.033,0.84,0.128,0.277,0.679,0.044,0.805,0.195,0.979,0.021,0.921384,1,0.147948,0.776341,0.075711,0.924289,0.149164867552989,0.772700344598143,0.0781347878488677,2,0.145303,0.768895,0.085803,0.914198,0.135038332959946,0.774155327380312,0.0908063396597422,0.805,0.979,0.195,0.021
PUR,HG01100,0.143055,0.720375,0.13657,HG01247,HG01248,2,0.150371738558446,0.716375476449154,0.1332527849924,0.572,0.428,0,0.534,0.466,0,0.903,0.097,0.806,0.194,0.86343,1,0.167368,0.634664,0.197969,0.802032,0.159880004863697,0.647598086884683,0.19252190825162,2,0.117406,0.776976,0.105618,0.894382,0.125695332870627,0.768244009500324,0.106060657629049,0.806,0.903,0.194,0.097
